action_type,mechanism_of_action,molecule_chembl_id,target_chembl_id
AGONIST,Growth hormone-releasing hormone receptor agonist,CHEMBL1201490,CHEMBL2032
AGONIST,Growth hormone-releasing hormone receptor agonist,CHEMBL2111290,CHEMBL2032
INHIBITOR,Cytochrome P450 11A1 inhibitor,CHEMBL488,CHEMBL2033
INHIBITOR,Cytochrome P450 11A1 inhibitor,CHEMBL1670,CHEMBL2033
AGONIST,Glucocorticoid receptor agonist,CHEMBL635,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200845,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1201173,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1201749,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL632,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL389621,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1504,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1549,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1159650,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200495,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200600,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200635,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200762,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200865,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200909,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL131,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1512,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200342,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200384,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200538,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL2021430,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1201081,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1201109,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200386,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200500,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200545,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200877,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200908,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200968,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1201064,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL650,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1451,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1501,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1676,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1766,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200376,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200449,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200562,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200732,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200989,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1201014,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1091,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1161,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1530428,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1683,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200774,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200878,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200975,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1201148,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL2040682,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL989,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1152,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1370,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL384467,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1497,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1650,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200617,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1364144,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1200953,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1201012,CHEMBL2034
AGONIST,Glucocorticoid receptor agonist,CHEMBL1473,CHEMBL2034
ANTAGONIST,Glucocorticoid receptor antagonist,CHEMBL1276308,CHEMBL2034
INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,CHEMBL853,CHEMBL247
INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,CHEMBL929,CHEMBL247
INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,CHEMBL1460,CHEMBL247
INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,CHEMBL1486,CHEMBL247
INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,CHEMBL885,CHEMBL247
INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,CHEMBL223228,CHEMBL247
INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,CHEMBL129,CHEMBL247
INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,CHEMBL4303288,CHEMBL247
INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,CHEMBL57,CHEMBL247
INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,CHEMBL991,CHEMBL247
INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,CHEMBL1628504,CHEMBL247
INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,CHEMBL308954,CHEMBL247
INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,CHEMBL141,CHEMBL247
INHIBITOR,Monoamine oxidase B inhibitor,CHEMBL1201142,CHEMBL2039
INHIBITOR,Monoamine oxidase B inhibitor,CHEMBL1200904,CHEMBL2039
INHIBITOR,Monoamine oxidase B inhibitor,CHEMBL972,CHEMBL2039
INHIBITOR,T-cell surface antigen CD2 inhibitor,CHEMBL1201571,CHEMBL2040
INHIBITOR,Tyrosine-protein kinase LCK inhibitor,CHEMBL1201733,CHEMBL258
INHIBITOR,Pancreatic alpha-amylase inhibitor,CHEMBL404271,CHEMBL2045
AGONIST,Bile acid receptor FXR agonist,CHEMBL1551,CHEMBL2047
AGONIST,Bile acid receptor FXR agonist,CHEMBL240597,CHEMBL2047
AGONIST,Oxytocin receptor agonist,CHEMBL395429,CHEMBL2049
INHIBITOR,Neuraminidase inhibitor,CHEMBL1200340,CHEMBL2051
INHIBITOR,Neuraminidase inhibitor,CHEMBL222813,CHEMBL2051
INHIBITOR,Influenza virus A matrix protein M2 inhibitor,CHEMBL535396,CHEMBL2052
INHIBITOR,Dihydrofolate reductase inhibitor,CHEMBL1201746,CHEMBL202
INHIBITOR,Dihydrofolate reductase inhibitor,CHEMBL3244648,CHEMBL202
INHIBITOR,Dihydrofolate reductase inhibitor,CHEMBL2360464,CHEMBL202
AGONIST,Dopamine D1 receptor agonist,CHEMBL1026,CHEMBL2056
ANTAGONIST,Dopamine D1 receptor antagonist,CHEMBL1200843,CHEMBL2056
INHIBITOR,Ceramide glucosyltransferase inhibitor,CHEMBL1029,CHEMBL2063
INHIBITOR,Ephrin type-A receptor 2 inhibitor,CHEMBL1421,CHEMBL2068
AGONIST,Estrogen receptor alpha agonist,CHEMBL1201477,CHEMBL206
MODULATOR,Estrogen receptor alpha modulator,CHEMBL786,CHEMBL206
AGONIST,Estrogen receptor alpha agonist,CHEMBL1405,CHEMBL206
AGONIST,Estrogen receptor alpha agonist,CHEMBL135,CHEMBL206
AGONIST,Estrogen receptor alpha agonist,CHEMBL1200430,CHEMBL206
AGONIST,Estrogen receptor alpha agonist,CHEMBL1511,CHEMBL206
MODULATOR,Estrogen receptor alpha modulator,CHEMBL3185958,CHEMBL206
AGONIST,Estrogen receptor alpha agonist,CHEMBL691,CHEMBL206
AGONIST,Estrogen receptor alpha agonist,CHEMBL1018,CHEMBL206
AGONIST,Estrogen receptor alpha agonist,CHEMBL1200973,CHEMBL206
AGONIST,Estrogen receptor alpha agonist,CHEMBL1200980,CHEMBL206
AGONIST,Estrogen receptor alpha agonist,CHEMBL1201151,CHEMBL206
AGONIST,Estrogen receptor alpha agonist,CHEMBL411,CHEMBL206
BLOCKER,Sodium channel protein type IV alpha subunit blocker,CHEMBL1200749,CHEMBL2072
BLOCKER,Sodium channel protein type IV alpha subunit blocker,CHEMBL1098,CHEMBL2072
BLOCKER,Sodium channel protein type IV alpha subunit blocker,CHEMBL1200396,CHEMBL2072
BLOCKER,Sodium channel protein type IV alpha subunit blocker,CHEMBL1404,CHEMBL2072
INHIBITOR,Maltase-glucoamylase inhibitor,CHEMBL1561,CHEMBL2074
INHIBITOR,Maltase-glucoamylase inhibitor,CHEMBL404271,CHEMBL2074
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL1201483,CHEMBL222
SUBSTRATE,Norepinephrine transporter substrate,CHEMBL2110368,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1118,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL1201535,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1237135,CHEMBL222
SUBSTRATE,Norepinephrine transporter substrate,CHEMBL3184143,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL1574,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1628234,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1696,CHEMBL222
SUBSTRATE,Norepinephrine transporter substrate,CHEMBL1095292,CHEMBL222
SUBSTRATE,Norepinephrine transporter substrate,CHEMBL1345,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1702,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL1200912,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL3544906,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1201735,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1201728,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL904,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL612,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL1200782,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL3544971,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL3989844,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1693,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1200483,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL1200377,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL3989845,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1113,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL501,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1200328,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL405,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL3989855,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1200964,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1200332,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL1200387,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1698,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL4297064,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL796,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1722,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1200492,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1201156,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1201023,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1200395,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL1200724,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL2062163,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL1200695,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1201777,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1692,CHEMBL222
RELEASING AGENT,Norepinephrine transporter releasing agent,CHEMBL1201178,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1200948,CHEMBL222
INHIBITOR,Norepinephrine transporter inhibitor,CHEMBL1201066,CHEMBL222
PARTIAL AGONIST,C-X-C chemokine receptor type 4 partial agonist,CHEMBL18442,CHEMBL2107
INHIBITOR,Coagulation factor VIII inhibitor,CHEMBL2109065,CHEMBL3143
ANTAGONIST,Bradykinin B2 receptor antagonist,CHEMBL2028852,CHEMBL3157
INHIBITOR,Tyrosine-protein kinase HCK inhibitor,CHEMBL288441,CHEMBL3234
INHIBITOR,Carbonic anhydrase XII inhibitor,CHEMBL17,CHEMBL3242
INHIBITOR,Carbonic anhydrase XII inhibitor,CHEMBL20,CHEMBL3242
INHIBITOR,Carbonic anhydrase XII inhibitor,CHEMBL1200814,CHEMBL3242
INHIBITOR,Lysosomal alpha-glucosidase inhibitor,CHEMBL1561,CHEMBL2608
INHIBITOR,Fibroblast growth factor receptor 3 inhibitor,CHEMBL1201733,CHEMBL2742
OTHER,Glutathione reductase other,CHEMBL1372,CHEMBL2755
INHIBITOR,Glutathione reductase inhibitor,CHEMBL513,CHEMBL2755
INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,CHEMBL1795071,CHEMBL2835
INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,CHEMBL2105741,CHEMBL2964
INHIBITOR,Tyrosine-protein kinase JAK2 inhibitor,CHEMBL1795071,CHEMBL2971
ACTIVATOR,Phenylalanine-4-hydroxylase activator,CHEMBL1201775,CHEMBL3076
PROTEOLYTIC ENZYME,Fibronectin proteolytic enzyme,CHEMBL2095222,CHEMBL3810
INHIBITOR,Sodium/glucose cotransporter 2 inhibitor,CHEMBL4594217,CHEMBL3884
INHIBITOR,Tyrosine-protein kinase Lyn inhibitor,CHEMBL288441,CHEMBL3905
INHIBITOR,Pepsin A inhibitor,CHEMBL6067980,CHEMBL3295
OPENER,Transient receptor potential cation channel subfamily M member 8 opener,CHEMBL256087,CHEMBL1075319
INHIBITOR,Neuraminidase inhibitor,CHEMBL222813,CHEMBL3377
INHIBITOR,Neuraminidase inhibitor,CHEMBL1200340,CHEMBL3377
INHIBITOR,Human immunodeficiency virus type 1 integrase inhibitor,CHEMBL204656,CHEMBL3471
INHIBITOR,Human immunodeficiency virus type 1 integrase inhibitor,CHEMBL518520,CHEMBL3471
INHIBITOR,Cytochrome P450 17A1 inhibitor,CHEMBL271227,CHEMBL3522
INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,CHEMBL2105741,CHEMBL3587
INHIBITOR,Coagulation factor V inhibitor,CHEMBL2109065,CHEMBL3618
INHIBITOR,Fibroblast growth factor receptor 1 inhibitor,CHEMBL1201733,CHEMBL3650
INHIBITOR,Fibroblast growth factor receptor 1 inhibitor,CHEMBL1946170,CHEMBL3650
INHIBITOR,3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type II inhibitor,CHEMBL1200907,CHEMBL3670
AGONIST,Prostanoid EP3 receptor agonist,CHEMBL606,CHEMBL3710
INHIBITOR,Hepatocyte growth factor receptor inhibitor,CHEMBL2103868,CHEMBL3717
INHIBITOR,Hepatocyte growth factor receptor inhibitor,CHEMBL601719,CHEMBL3717
INHIBITOR,Carbonic anhydrase IV inhibitor,CHEMBL17,CHEMBL3729
INHIBITOR,Carbonic anhydrase IV inhibitor,CHEMBL19,CHEMBL3729
INHIBITOR,Carbonic anhydrase IV inhibitor,CHEMBL220492,CHEMBL3729
INHIBITOR,Carbonic anhydrase IV inhibitor,CHEMBL20,CHEMBL3729
INHIBITOR,Carbonic anhydrase IV inhibitor,CHEMBL1200814,CHEMBL3729
AGONIST,Beta-3 adrenergic receptor agonist,CHEMBL2095212,CHEMBL246
INHIBITOR,MAP kinase p38 beta inhibitor,CHEMBL1946170,CHEMBL3961
INHIBITOR,GAR transformylase inhibitor,CHEMBL2360464,CHEMBL3972
INHIBITOR,Cystic fibrosis transmembrane conductance regulator inhibitor,CHEMBL2108184,CHEMBL4051
POSITIVE MODULATOR,Cystic fibrosis transmembrane conductance regulator positive modulator,CHEMBL2010601,CHEMBL4051
INHIBITOR,Matrix metalloproteinase 7 inhibitor,CHEMBL1200699,CHEMBL4073
INHIBITOR,Matrix metalloproteinase 7 inhibitor,CHEMBL2364574,CHEMBL4073
INHIBITOR,Matrix metalloproteinase 7 inhibitor,CHEMBL3989740,CHEMBL4073
AGONIST,Fibroblast growth factor receptor 2 agonist,CHEMBL1201821,CHEMBL4142
INHIBITOR,Fibroblast growth factor receptor 2 inhibitor,CHEMBL1946170,CHEMBL4142
INHIBITOR,Tyrosine-protein kinase FRK inhibitor,CHEMBL1946170,CHEMBL4223
INHIBITOR,ALK tyrosine kinase receptor inhibitor,CHEMBL601719,CHEMBL4247
OPENER,Intermediate conductance calcium-activated potassium channel protein 4 opener,CHEMBL1371,CHEMBL4305
INHIBITOR,Thymidylate synthase inhibitor,CHEMBL1463,CHEMBL4665
BLOCKER,Voltage-gated N-type calcium channel alpha-1B subunit blocker,CHEMBL1795072,CHEMBL4478
INHIBITOR,Matrix metalloproteinase 8 inhibitor,CHEMBL1200699,CHEMBL4588
INHIBITOR,Matrix metalloproteinase 8 inhibitor,CHEMBL2364574,CHEMBL4588
INHIBITOR,Matrix metalloproteinase 8 inhibitor,CHEMBL3989740,CHEMBL4588
INHIBITOR,Matrix metalloproteinase 13 inhibitor,CHEMBL1200699,CHEMBL280
INHIBITOR,Matrix metalloproteinase 13 inhibitor,CHEMBL2364574,CHEMBL280
INHIBITOR,Matrix metalloproteinase 13 inhibitor,CHEMBL3989740,CHEMBL280
INHIBITOR,Tyrosine-protein kinase BRK inhibitor,CHEMBL24828,CHEMBL4601
OPENER,"Potassium channel, inwardly rectifying, subfamily J, member 8 opener",CHEMBL181,CHEMBL4770
OPENER,Vanilloid receptor opener,CHEMBL294199,CHEMBL4794
INHIBITOR,Matrix metalloproteinase-1 inhibitor,CHEMBL1200699,CHEMBL332
INHIBITOR,Matrix metalloproteinase-1 inhibitor,CHEMBL3989740,CHEMBL332
INHIBITOR,Matrix metalloproteinase-1 inhibitor,CHEMBL2364574,CHEMBL332
BLOCKER,Voltage-gated N-type calcium channel alpha-1B subunit blocker,CHEMBL1286,CHEMBL4478
INHIBITOR,Discoidin domain-containing receptor 2 inhibitor,CHEMBL1946170,CHEMBL5122
INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,CHEMBL2105729,CHEMBL5145
INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,CHEMBL1946170,CHEMBL5145
INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,CHEMBL1200485,CHEMBL5145
INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,CHEMBL1229517,CHEMBL5145
INHIBITOR,Ferriprotoporphyrin IX inhibitor,CHEMBL535650,CHEMBL613897
INHIBITOR,Ferriprotoporphyrin IX inhibitor,CHEMBL1200901,CHEMBL613897
INHIBITOR,Ferriprotoporphyrin IX inhibitor,CHEMBL1357648,CHEMBL613897
INHIBITOR,Ferriprotoporphyrin IX inhibitor,CHEMBL58510,CHEMBL613897
INHIBITOR,Ferriprotoporphyrin IX inhibitor,CHEMBL566534,CHEMBL613897
INHIBITOR,Ferriprotoporphyrin IX inhibitor,CHEMBL2359966,CHEMBL613897
BINDING AGENT,Ferriprotoporphyrin IX binding agent,CHEMBL4297165,CHEMBL613897
INHIBITOR,Ferriprotoporphyrin IX inhibitor,CHEMBL38827,CHEMBL613897
INHIBITOR,Ferriprotoporphyrin IX inhibitor,CHEMBL1690,CHEMBL613897
INHIBITOR,RNA-directed RNA polymerase inhibitor,CHEMBL1643,CHEMBL4296320
BLOCKER,Sodium channel protein type X alpha subunit blocker,CHEMBL1200612,CHEMBL5451
AGONIST,Glucagon-like peptide 2 receptor agonist,CHEMBL2104987,CHEMBL5844
OPENER,Chloride channel protein 2 opener,CHEMBL1201134,CHEMBL1628478
AGONIST,Progesterone receptor agonist,CHEMBL1387,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL1531,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL1201139,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL1201146,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL717,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL1162,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL1200848,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL1200853,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL103,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL2107797,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL1200934,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL1389,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL1533,CHEMBL208
MODULATOR,Progesterone receptor modulator,CHEMBL260538,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL1200807,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL1200624,CHEMBL208
ANTAGONIST,Progesterone receptor antagonist,CHEMBL1276308,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL1509,CHEMBL208
AGONIST,Progesterone receptor agonist,CHEMBL1479,CHEMBL208
INHIBITOR,Smoothened homolog inhibitor,CHEMBL473417,CHEMBL5971
OPENER,Transient receptor potential cation channel subfamily A member 1 opener,CHEMBL256087,CHEMBL6007
INHIBITOR,Solute carrier family 22 member 12 inhibitor,CHEMBL832,CHEMBL6120
INHIBITOR,Tyrosine-protein kinase TIE-2 inhibitor,CHEMBL1946170,CHEMBL4128
INHIBITOR,Tyrosine-protein kinase TIE-2 inhibitor,CHEMBL24828,CHEMBL4128
INHIBITOR,Placenta growth factor inhibitor,CHEMBL1742982,CHEMBL1697671
INHIBITOR,Solute carrier family 22 member 6 inhibitor,CHEMBL897,CHEMBL1641347
INHIBITOR,Solute carrier family 22 member 8 inhibitor,CHEMBL897,CHEMBL1641348
ANTAGONIST,Glutamate receptor ionotropic AMPA antagonist,CHEMBL1214124,CHEMBL2096670
ANTAGONIST,Glutamate receptor ionotropic AMPA antagonist,CHEMBL220492,CHEMBL2096670
ANTAGONIST,"Endothelin receptor, ET-A/ET-B antagonist",CHEMBL957,CHEMBL2096678
ANTAGONIST,"Endothelin receptor, ET-A/ET-B antagonist",CHEMBL1111,CHEMBL2096678
INHIBITOR,Solute carrier family 22 member 11 inhibitor,CHEMBL897,CHEMBL2073677
AGONIST,Neuronal acetylcholine receptor; alpha4/beta2 agonist,CHEMBL1201536,CHEMBL1907589
AGONIST,Neuronal acetylcholine receptor; alpha4/beta2 agonist,CHEMBL3,CHEMBL1907589
AGONIST,Neuronal acetylcholine receptor; alpha4/beta2 agonist,CHEMBL6067972,CHEMBL1907589
AGONIST,Heat-stable enterotoxin receptor agonist,CHEMBL3301675,CHEMBL1795197
INHIBITOR,Farnesyl diphosphate synthase inhibitor,CHEMBL675,CHEMBL1782
INHIBITOR,Farnesyl diphosphate synthase inhibitor,CHEMBL1654,CHEMBL1782
INHIBITOR,Farnesyl diphosphate synthase inhibitor,CHEMBL4303669,CHEMBL1782
INHIBITOR,Farnesyl diphosphate synthase inhibitor,CHEMBL3989569,CHEMBL1782
INHIBITOR,Farnesyl diphosphate synthase inhibitor,CHEMBL3989401,CHEMBL1782
INHIBITOR,HMG-CoA reductase inhibitor,CHEMBL503,CHEMBL402
INHIBITOR,HMG-CoA reductase inhibitor,CHEMBL1200563,CHEMBL402
INHIBITOR,HMG-CoA reductase inhibitor,CHEMBL1237061,CHEMBL402
INHIBITOR,HMG-CoA reductase inhibitor,CHEMBL2218894,CHEMBL402
INHIBITOR,HMG-CoA reductase inhibitor,CHEMBL1744447,CHEMBL402
INHIBITOR,HMG-CoA reductase inhibitor,CHEMBL690,CHEMBL402
INHIBITOR,HMG-CoA reductase inhibitor,CHEMBL393220,CHEMBL402
INHIBITOR,HMG-CoA reductase inhibitor,CHEMBL1064,CHEMBL402
INHIBITOR,Phosphodiesterase 4 inhibitor,CHEMBL1096,CHEMBL2093863
INHIBITOR,Phosphodiesterase 4 inhibitor,CHEMBL1752,CHEMBL2093863
INHIBITOR,Phosphodiesterase 4 inhibitor,CHEMBL193240,CHEMBL2093863
INHIBITOR,Phosphodiesterase 4 inhibitor,CHEMBL1355736,CHEMBL2093863
INHIBITOR,Phosphodiesterase 4 inhibitor,CHEMBL1200578,CHEMBL2093863
INHIBITOR,Phosphodiesterase 4 inhibitor,CHEMBL1200875,CHEMBL2093863
INHIBITOR,Phosphodiesterase 4 inhibitor,CHEMBL1370561,CHEMBL2093863
INHIBITOR,Histone deacetylase inhibitor,CHEMBL343448,CHEMBL2093865
AGONIST,Estrogen receptor agonist,CHEMBL1201468,CHEMBL2093866
AGONIST,Estrogen receptor agonist,CHEMBL1201466,CHEMBL2093866
AGONIST,Estrogen receptor agonist,CHEMBL1201649,CHEMBL2093866
AGONIST,Estrogen receptor agonist,CHEMBL1201467,CHEMBL2093866
MODULATOR,Estrogen receptor modulator,CHEMBL2105395,CHEMBL2093866
AGONIST,Estrogen receptor agonist,CHEMBL1200598,CHEMBL2093866
AGONIST,Estrogen receptor agonist,CHEMBL1201165,CHEMBL2093866
ANTAGONIST,Estrogen receptor alpha antagonist,CHEMBL1358,CHEMBL206
MODULATOR,Estrogen receptor modulator,CHEMBL1200675,CHEMBL2093866
INHIBITOR,Integrin alpha-IIb/beta-3 inhibitor,CHEMBL1201584,CHEMBL2093869
INHIBITOR,Integrin alpha-IIb/beta-3 inhibitor,CHEMBL1174,CHEMBL2093869
INHIBITOR,Integrin alpha-IIb/beta-3 inhibitor,CHEMBL3189072,CHEMBL2093869
INHIBITOR,Potassium-transporting ATPase inhibitor,CHEMBL1503,CHEMBL2095173
INHIBITOR,Potassium-transporting ATPase inhibitor,CHEMBL1201863,CHEMBL2095173
INHIBITOR,Potassium-transporting ATPase inhibitor,CHEMBL1567328,CHEMBL2095173
